@RELATION svmSMtemp
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {split_audio_coyote,split_audio_bg}

@DATA
0.153417,0.015453,3.026821,0.331589,0.285647,0.817680,0.011540,0.340407,-30.808937,0.729446,0.123166,1.221236,0.045559,0.204927,0.379431,0.105292,0.070699,0.203617,-0.004293,0.143111,0.087538,0.002733,0.001495,0.075396,0.002475,0.009217,0.002132,0.063379,0.007671,0.001986,0.009173,0.031909,0.006012,0.033705,0.000003,0.000001,-0.000469,-0.000297,0.000067,-0.004194,0.000016,-0.004811,0.002584,-0.007433,-0.004717,0.006625,0.007874,0.000197,-0.007917,0.001080,0.005295,-0.000745,-0.002993,-0.000101,-0.000161,0.000042,0.000046,-0.000142,-0.000004,-0.000089,-0.000005,-0.000732,-0.000002,-0.000002,0.000006,0.000791,0.000001,-0.000064,0.050636,0.018037,0.180664,0.064202,0.028302,0.361740,0.009054,0.140044,1.306824,0.786224,0.357312,0.403304,0.287575,0.340384,0.330483,0.358275,0.341462,0.350525,0.286310,0.236868,0.208743,0.004260,0.003271,0.040756,0.004331,0.008942,0.003544,0.045292,0.015904,0.004007,0.015508,0.031332,0.011574,0.012335,0.055634,0.017481,0.254636,0.043443,0.021800,0.372051,0.010642,0.168628,0.902166,0.637311,0.344108,0.393662,0.301332,0.274403,0.368421,0.316387,0.336989,0.360127,0.263080,0.238722,0.231142,0.005856,0.004562,0.043841,0.007629,0.010583,0.004687,0.059003,0.020331,0.004650,0.019893,0.036899,0.012693,0.016084,split_audio_coyote
0.084135,0.014296,3.115739,0.193857,0.236421,0.511425,0.009262,0.128116,-25.619063,0.173402,-0.757438,1.326954,0.123577,-0.088633,0.450251,0.206866,-0.324389,0.186800,0.206801,-0.068847,-0.056877,0.003597,0.001600,0.014143,0.019035,0.010036,0.007503,0.020096,0.005128,0.004614,0.003917,0.007609,0.003426,0.012123,-0.005808,-0.001656,-0.001200,0.004477,0.008812,-0.053329,0.000428,-0.008137,-0.148445,0.129734,0.076408,0.004609,0.116124,-0.110074,0.118524,0.192835,-0.135101,-0.121805,0.169267,0.002512,-0.051412,-0.000458,0.000209,0.004159,0.013786,0.001086,0.000200,0.001861,0.000489,-0.002408,-0.000886,0.001101,-0.004677,0.002417,0.024209,0.017310,0.162290,0.024902,0.022817,0.305683,0.004592,0.075198,0.609383,0.241467,0.371724,0.242945,0.246068,0.302756,0.275073,0.301397,0.469482,0.307296,0.348379,0.263033,0.140052,0.006268,0.002342,0.016303,0.015725,0.008387,0.007105,0.010489,0.004118,0.006857,0.004797,0.008457,0.007314,0.005454,0.023595,0.016867,0.221299,0.026285,0.018060,0.319227,0.005349,0.094154,0.578604,0.290903,0.361187,0.342069,0.265281,0.519053,0.437644,0.331388,0.745722,0.313352,0.597687,0.365398,0.254252,0.008826,0.002489,0.017940,0.014891,0.011833,0.011604,0.016063,0.006052,0.012600,0.007384,0.012509,0.012760,0.006464,split_audio_coyote
0.065211,0.014861,2.965784,0.257613,0.266252,0.357165,0.017972,0.035122,-30.620122,1.532280,-0.008035,0.741039,0.410446,0.202414,0.150480,0.224191,0.084662,0.238997,0.160065,0.009802,0.109975,0.001153,0.000504,0.048456,0.001609,0.028075,0.005263,0.093777,0.000552,0.000716,0.002497,0.104149,0.001432,0.051156,0.001376,0.000068,-0.005895,0.004647,0.004208,-0.003110,0.000159,0.000038,0.268551,0.024489,0.010872,0.004173,0.004326,0.005443,0.004033,-0.001981,0.000334,-0.006416,0.000619,0.002333,0.001318,0.000007,0.000001,-0.000091,0.000007,-0.002078,0.000015,0.004550,0.000001,0.000005,-0.000019,0.001077,0.000001,0.000514,0.034623,0.018223,0.263623,0.072793,0.052249,0.202710,0.043502,0.051235,3.781174,0.828764,0.449925,0.495463,0.195881,0.299260,0.280921,0.299599,0.328595,0.235423,0.233572,0.173140,0.136064,0.001269,0.001115,0.059756,0.002583,0.025073,0.010349,0.077960,0.000997,0.001118,0.004006,0.066156,0.004521,0.019041,0.041356,0.019471,0.341873,0.075672,0.042707,0.249133,0.062513,0.059439,2.022961,0.812963,0.539215,0.486983,0.272967,0.322723,0.322197,0.321273,0.327580,0.249060,0.282170,0.231912,0.166466,0.001760,0.001555,0.067589,0.003115,0.016157,0.013108,0.099110,0.001402,0.001409,0.005513,0.072903,0.006330,0.024755,split_audio_coyote
0.071726,0.021413,3.036915,0.133143,0.165487,0.411867,0.022871,0.096053,-27.010224,-1.795504,-0.895708,1.108916,0.213244,-0.224084,0.019434,0.103888,0.185086,-0.089405,-0.012387,0.157781,-0.155357,0.002990,0.009188,0.018281,0.006760,0.002273,0.002064,0.002576,0.003840,0.002561,0.006076,0.003583,0.004620,0.010872,0.004948,-0.002179,-0.077512,0.004222,0.000034,0.101853,-0.002400,0.010012,-0.208973,-0.085247,0.210127,0.038156,-0.045719,-0.089261,0.158066,-0.078184,-0.069599,0.026860,0.021862,-0.063898,0.016754,-0.000389,-0.000031,-0.027807,-0.000156,-0.000016,0.000015,0.000064,0.000024,0.000732,0.001128,-0.000060,-0.000999,-0.007385,0.010482,0.019929,0.274162,0.022552,0.026980,0.200857,0.011480,0.016027,1.392269,0.781413,0.573386,0.368228,0.360306,0.446975,0.667970,0.573576,0.547169,0.521624,0.472181,0.238857,0.201147,0.005411,0.012956,0.037238,0.015247,0.003471,0.003092,0.003378,0.006425,0.003041,0.006342,0.007487,0.011105,0.009892,0.009441,0.024423,0.313488,0.025342,0.034939,0.183962,0.012263,0.016633,1.543456,1.134989,0.617002,0.528543,0.406086,0.531198,0.713113,0.604356,0.757578,0.632012,0.581453,0.389858,0.327153,0.005748,0.015261,0.067025,0.022003,0.005505,0.004582,0.005093,0.009326,0.003452,0.008610,0.009917,0.015826,0.020393,split_audio_coyote
0.070752,0.012025,3.048875,0.139973,0.185008,0.325132,0.019839,0.087294,-27.881916,-1.331253,-1.333064,0.970780,0.323712,0.152680,-0.321849,0.055612,0.331724,-0.047596,-0.114080,0.117356,-0.068297,0.018924,0.021117,0.002392,0.004877,0.003410,0.003789,0.004851,0.005740,0.003842,0.002783,0.003404,0.004056,0.014215,-0.002553,-0.000100,0.030634,0.000442,0.000973,0.000698,0.000148,-0.000780,-0.022887,0.045416,-0.023812,-0.011865,0.012395,-0.004522,-0.010857,0.015027,-0.023267,0.032631,-0.016844,-0.001801,0.020733,0.000966,-0.000417,-0.001023,-0.000188,-0.000010,0.000076,-0.000070,0.000358,-0.000008,-0.000219,-0.000186,0.000213,-0.000167,0.018607,0.019070,0.403714,0.022967,0.028828,0.257152,0.010728,0.021886,1.187839,0.724604,0.515302,0.549093,0.357171,0.461378,0.479044,0.501329,0.430336,0.585628,0.433186,0.308848,0.258841,0.029746,0.032480,0.005172,0.017307,0.006658,0.008289,0.008686,0.009330,0.004566,0.004649,0.005448,0.005640,0.011659,0.018159,0.024246,0.489503,0.027792,0.034334,0.255130,0.011027,0.024209,1.216554,0.722387,0.547712,0.695240,0.449249,0.541512,0.398533,0.589978,0.544980,0.516958,0.473632,0.410414,0.220504,0.036754,0.043589,0.003722,0.025015,0.009605,0.012427,0.014260,0.011455,0.005081,0.006664,0.007116,0.007812,0.017529,split_audio_coyote
0.070565,0.028095,3.138025,0.189448,0.234817,0.254557,0.015976,0.073412,-27.751987,-0.388133,-1.426345,0.709654,0.384966,0.545267,-0.049863,-0.557958,0.775022,0.000506,-0.236037,0.247205,-0.230292,0.006964,0.009698,0.003709,0.000828,0.001306,0.001442,0.027917,0.003339,0.008621,0.015841,0.032465,0.017246,0.022115,0.011683,-0.002564,0.022135,0.043773,0.031866,0.107222,0.000912,-0.000091,-1.083479,0.279042,0.119336,-0.078452,0.033429,0.165002,0.108540,-0.018058,-0.134037,0.054027,0.208922,-0.111015,-0.136844,-0.001502,-0.000081,0.001988,0.000194,0.000380,0.000213,0.025984,0.002805,0.006353,0.008440,0.003729,-0.014550,0.002887,0.020038,0.037235,0.198055,0.044099,0.030500,0.139198,0.006529,0.004413,1.424488,0.593976,0.415475,0.340887,0.307621,0.241650,0.483025,0.263141,0.432114,0.387516,0.333284,0.194385,0.241911,0.017459,0.020308,0.003054,0.001117,0.001397,0.002814,0.026163,0.003332,0.011083,0.005026,0.025727,0.026212,0.008532,0.019808,0.025128,0.291800,0.028822,0.015069,0.144768,0.010336,0.006624,1.034539,0.793578,0.354866,0.397108,0.380446,0.395465,0.485041,0.299056,0.310536,0.545181,0.315963,0.148473,0.257568,0.026334,0.023920,0.002258,0.001543,0.001283,0.003835,0.025613,0.003292,0.011506,0.003156,0.050778,0.038031,0.009099,split_audio_coyote
0.060441,0.020107,2.964768,0.156829,0.226029,0.295819,0.017551,0.066890,-26.773364,1.915363,-0.392468,0.248604,0.295162,0.147706,0.323965,-0.042774,-0.098609,0.319292,0.126174,-0.003322,-0.082056,0.005457,0.001341,0.057345,0.012132,0.008892,0.004425,0.075888,0.009858,0.017404,0.012928,0.024029,0.003888,0.032621,0.003057,-0.000242,0.056331,0.007707,0.006434,0.027273,-0.001440,0.001316,-0.186869,-0.091908,0.006973,0.048001,0.041632,0.012421,0.112205,-0.065680,-0.103314,-0.004973,-0.021064,-0.100208,-0.090553,0.001871,-0.000540,-0.006626,0.003271,-0.006347,0.000095,-0.000092,0.000454,-0.001483,-0.003568,0.003775,-0.002909,-0.000785,0.038132,0.029118,0.322111,0.036406,0.032387,0.242038,0.012029,0.062085,1.828869,0.572208,0.828906,0.439949,0.338458,0.385287,0.318028,0.311199,0.182957,0.292024,0.205582,0.201672,0.151187,0.002570,0.002052,0.050317,0.016013,0.008164,0.004986,0.061097,0.012827,0.023794,0.014008,0.022153,0.008460,0.015381,0.045068,0.036659,0.418633,0.044028,0.039361,0.289866,0.015977,0.076013,1.934741,0.737500,0.982144,0.505186,0.356974,0.480161,0.353643,0.340469,0.255003,0.378271,0.264264,0.268991,0.220288,0.003204,0.002647,0.059481,0.022701,0.011813,0.006693,0.082773,0.017699,0.037210,0.018951,0.031450,0.012308,0.020938,split_audio_coyote
0.091595,0.061761,3.177024,0.182178,0.208851,0.504962,0.027773,0.114678,-27.012329,-1.123836,-0.116159,1.203804,-0.436841,0.385845,0.263919,-0.501542,0.698336,-0.461028,0.191356,0.128180,-0.276368,0.003696,0.000401,0.002255,0.001519,0.001131,0.000263,0.016151,0.000099,0.000245,0.001163,0.016402,0.009317,0.010712,-0.006267,0.001534,-0.006827,-0.012606,-0.006917,-0.075672,0.002006,-0.018886,0.219629,-0.109845,-0.054614,-0.001060,-0.045051,0.069117,-0.054572,0.010028,0.049189,-0.057425,0.001859,0.000439,0.006408,-0.000051,0.000125,-0.001009,-0.000036,-0.000358,-0.000037,-0.014670,-0.000022,-0.000122,-0.000229,-0.000265,0.000220,-0.003930,0.029918,0.081705,0.192556,0.054909,0.036723,0.426389,0.018655,0.076379,1.486567,0.649242,0.602541,0.390145,0.376327,0.423685,0.632789,0.596369,0.330536,0.301511,0.218656,0.157457,0.228263,0.007713,0.000565,0.004633,0.003407,0.002228,0.000415,0.056580,0.000102,0.000470,0.001612,0.018009,0.015005,0.014601,0.027711,0.069717,0.275233,0.043180,0.027353,0.402210,0.021787,0.079510,1.356589,0.593840,0.599393,0.533793,0.396632,0.416697,0.566161,0.605630,0.241545,0.339882,0.311203,0.249532,0.270797,0.011285,0.000563,0.002976,0.004041,0.002856,0.000539,0.053558,0.000089,0.000456,0.001626,0.024559,0.021949,0.013395,split_audio_coyote
0.075053,0.072794,3.138366,0.146536,0.181837,0.221133,0.024333,0.083031,-26.591979,-1.701450,-0.603681,1.483446,-0.211317,0.129675,-0.027316,-0.209238,0.942509,-0.679935,0.082878,0.352265,-0.057435,0.008429,0.021828,0.001836,0.002031,0.000739,0.000596,0.001692,0.000819,0.000606,0.002027,0.016947,0.010556,0.014309,-0.003479,-0.000583,0.014474,-0.002685,0.001055,-0.020750,0.002321,-0.002269,0.037661,0.037626,-0.213632,0.049229,0.146558,-0.164450,0.060094,-0.012803,-0.030406,0.038187,-0.019300,-0.001729,0.037776,0.003037,-0.000513,0.000730,0.001439,0.000632,0.000497,0.001152,0.000171,0.000006,0.000019,0.000060,0.000180,0.000727,0.010138,0.075020,0.206679,0.022556,0.026011,0.152315,0.017280,0.018451,1.857376,0.664378,0.654417,0.414784,0.597840,0.622821,0.443057,0.565613,0.390457,0.266285,0.327357,0.211647,0.255023,0.014823,0.055746,0.002876,0.004864,0.002091,0.001634,0.003877,0.001839,0.000953,0.003494,0.025727,0.027506,0.014935,0.006769,0.055131,0.309943,0.021074,0.023069,0.213368,0.023365,0.029944,1.292979,0.770029,0.465428,0.445124,0.498779,0.543716,0.377326,0.665015,0.526435,0.368239,0.464445,0.256617,0.245860,0.015860,0.079488,0.003287,0.005252,0.002109,0.001658,0.003988,0.002710,0.001068,0.005411,0.030407,0.038746,0.023950,split_audio_coyote
0.072913,0.070578,3.126004,0.136949,0.173777,0.188851,0.031680,0.074864,-26.323332,-1.875589,-0.792525,1.439250,-0.235037,0.168295,0.256923,-0.428565,1.032479,-0.530782,-0.235289,0.525355,-0.029136,0.007014,0.007659,0.002146,0.000325,0.000146,0.000086,0.000692,0.000250,0.002551,0.012011,0.013368,0.014581,0.012042,0.002677,0.001024,0.022522,-0.000662,-0.002771,0.002025,0.001901,0.000544,-0.000407,-0.115088,0.073032,-0.001100,-0.113903,0.048582,0.057938,-0.037399,0.005020,0.028680,-0.029942,-0.013463,0.069948,0.006220,-0.006892,-0.000416,-0.000136,-0.000029,-0.000009,-0.000087,0.000078,0.000236,0.000387,-0.000269,0.000441,-0.000168,0.009539,0.075490,0.139265,0.016974,0.022102,0.106032,0.020820,0.004124,1.116629,0.823719,0.330134,0.455006,0.366687,0.370405,0.390854,0.372466,0.359700,0.201154,0.152065,0.145989,0.229851,0.018625,0.020545,0.004373,0.000415,0.000169,0.000052,0.000634,0.000254,0.005734,0.016238,0.015562,0.022657,0.005772,0.011385,0.077990,0.222233,0.017692,0.017759,0.121017,0.018398,0.004701,1.191729,1.108689,0.435852,0.600916,0.471607,0.399220,0.568781,0.543938,0.460107,0.202850,0.206094,0.157938,0.192435,0.018569,0.020452,0.006548,0.000468,0.000242,0.000068,0.000504,0.000277,0.008393,0.027275,0.023980,0.033601,0.007155,split_audio_coyote
